25.00, 30.00, 35.00, 40.00, h
16.85, 22.55, 27.00, 30.80, 17.90
16.95, 22.55, 26.75, 30.85, 17.90
16.95, 22.45, 26.85, 30.85, 17.90
16.65, 22.55, 27.00, 30.85, 17.90
17.05, 22.40, 26.80, 30.95, 17.90
16.90, 22.55, 27.00, 30.80, 17.90
16.95, 22.35, 26.85, 30.85, 17.90
17.00, 22.60, 26.90, 30.80, 17.90
17.05, 22.50, 26.95, 30.60, 17.90
17.10, 22.55, 26.80, 30.65, 17.90
17.05, 22.45, 26.80, 30.60, 17.90
16.85, 22.50, 27.05, 30.70, 17.90
17.00, 22.35, 26.65, 30.50, 17.90
17.15, 22.50, 26.75, 30.75, 17.90
17.20, 22.65, 26.75, 30.55, 17.90
