20.50, 25.50, 30.50, 35.5, h
13.60, 19.30, 23.50, 27.80, 15.05
13.70, 19.35, 23.60, 27.75, 15.05
13.60, 19.30, 23.55, 27.20, 15.05
13.80, 19.25, 24.00, 27.40, 15.05
13.50, 19.35, 23.60, 27.65, 15.05
13.65, 19.50, 24.20, 27.60, 15.05
13.65, 19.40, 23.60, 27.40, 15.05
13.65, 19.00, 23.60, 27.00, 15.05
13.70, 19.15, 23.75, 27.70, 15.05
13.65, 19.30, 24.00, 27.70, 15.05
13.80, 19.20, 23.70, 27.05, 15.05
13.90, 19.40, 23.80, 27.60, 15.05
13.70, 19.55, 23.30, 27.70, 15.05
13.60, 19.10, 23.50, 27.50, 15.05
13.60, 19.30, 23.80, 22.55, 15.05

